;FECHA;ENERGIA
188;04/09/2019;375906.7239
189;05/09/2019;379210.9898
190;06/09/2019;375891.4689
191;07/09/2019;313287.6951
192;08/09/2019;231767.1218
193;09/09/2019;363363.9476
194;10/09/2019;383654.4746
195;11/09/2019;390327.3131
196;12/09/2019;382188.0343
197;13/09/2019;377780.603
198;14/09/2019;314003.914
199;15/09/2019;234549.1121
200;16/09/2019;363212.1958
201;17/09/2019;377083.397
202;18/09/2019;371156.4922
203;19/09/2019;362828.139
204;20/09/2019;357868.6685
205;21/09/2019;291425.7159
206;22/09/2019;224494.6804
207;23/09/2019;343617.2416
208;24/09/2019;365382.9174
209;25/09/2019;365056.024
210;26/09/2019;366542.7976
211;27/09/2019;367032.4648
212;28/09/2019;304984.0948
213;29/09/2019;230108.1967
214;30/09/2019;344575.306
215;01/10/2019;358291.7783
216;02/10/2019;361246.905
217;03/10/2019;358727.9661
218;04/10/2019;361563.301
219;05/10/2019;300253.8564
220;06/10/2019;231653.6426
221;07/10/2019;351602.6509
222;08/10/2019;360255.2584
223;09/10/2019;367902.3967
224;10/10/2019;368755.1159
225;11/10/2019;367996.1953
226;12/10/2019;308511.8006
227;13/10/2019;229528.7768
228;14/10/2019;241991.2969
229;15/10/2019;365715.6163
230;16/10/2019;374700.7209
231;17/10/2019;376518.0317
232;18/10/2019;368959.7618
233;19/10/2019;304592.6187
234;20/10/2019;234199.9306
235;21/10/2019;357883.9115
236;22/10/2019;375096.7826
237;23/10/2019;379327.5082
238;24/10/2019;375371.5359
239;25/10/2019;376612.3175
240;26/10/2019;317450.44
241;27/10/2019;232507.2408
242;28/10/2019;376636.2613
243;29/10/2019;388717.7698
244;30/10/2019;393438.682
245;31/10/2019;388023.4346
246;01/11/2019;393820.2504
247;02/11/2019;330263.9445
248;03/11/2019;251095.267
249;04/11/2019;259823.3481
250;05/11/2019;383677.1553
251;06/11/2019;396930.5764
252;07/11/2019;398226.438
253;08/11/2019;399664.1355
254;09/11/2019;325516.3257
255;10/11/2019;246846.9029
256;11/11/2019;256122.9165
257;12/11/2019;366617.981
258;13/11/2019;375225.6454
259;14/11/2019;378002.7504
260;15/11/2019;380202.5432
261;16/11/2019;317980.7053
262;17/11/2019;243879.0687
263;18/11/2019;370564.7986
264;19/11/2019;386445.1349
265;20/11/2019;385505.8933
266;21/11/2019;331706.5698
267;22/11/2019;352368.8405
268;23/11/2019;302829.8878
269;24/11/2019;246555.8829
270;25/11/2019;376990.6975
271;26/11/2019;401349.1011
272;27/11/2019;398791.2489
273;28/11/2019;394965.021
274;29/11/2019;385594.9252
275;30/11/2019;321818.0204
276;01/12/2019;252215.3188
277;02/12/2019;388147.1948
278;03/12/2019;401431.8943
279;04/12/2019;397791.6002
280;05/12/2019;409448.8016
281;06/12/2019;402398.8804
282;07/12/2019;329359.2555
283;08/12/2019;254887.657
284;09/12/2019;383043.4287
285;10/12/2019;394467.5346
286;11/12/2019;396444.5635
287;12/12/2019;395509.3906
288;13/12/2019;395274.9172
289;14/12/2019;326386.0013
290;15/12/2019;256515.1578
291;16/12/2019;383254.7578
292;17/12/2019;397239.9985
293;18/12/2019;394202.5586
294;19/12/2019;399424.9677
295;20/12/2019;391196.6612
296;21/12/2019;327676.8974
297;22/12/2019;259660.2612
298;23/12/2019;355252.4293
299;24/12/2019;298989.3344
300;25/12/2019;223693.1802
301;26/12/2019;349809.8948
302;27/12/2019;359234.2723
303;28/12/2019;312910.8467
304;29/12/2019;260688.1843
305;30/12/2019;332200.6302
306;31/12/2019;266371.9513
307;01/03/2020;259740.5181
308;02/03/2020;394938.3835
